# The ASF licenses this file to You under the Apache License, Version 2.0
# (the "License"); you may not use this file except in compliance with
# the License.  You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

#-----------------------------------------------------------------------
#some test synonym mappings unlikely to appear in real input text
is => is,_VBZ_
rising => rising,_VBG_
housing => housing,_NN_
benefit => benefit,_NN_
demand => demand,_NN_
high => high,_NN_
street => street,_NN_
NHS => NHS,_NN_
pound => pound,_NN_
youth => youth,_NN_
employment => employment,_NN_
and => and,_CC_
standard => standard,_NN_
of => of,_IN_
living => living,_NN_
consumer => consumer,_NN_
debt => debt,_NN_
country => country,_NN_
